yieldcalc,production,area
0.44444445,8.0,18.0
0.510989,93.0,182.0
0.5,10.0,20.0
0.54376954,2435.0,4478.0
12.727147,36756.0,2888.0
0.51785713,29.0,56.0
0.44,11.0,25.0
0.46153846,12.0,26.0
0.5,17.0,34.0
0.5861111,211.0,360.0
0.66809195,1250.0,1871.0
0.5588235,475.0,850.0
1.25,100.0,80.0
1.9405346,14228.0,7332.0
12.727147,36756.0,2888.0
1.9473684,74.0,38.0
9213.473,9711000.0,1054.0
0.63601893,671.0,1055.0
6.9396553,1610.0,232.0
3.2467532,250.0,77.0
7.4756336,15340.0,2052.0
41.157143,5762.0,140.0
5.2516556,793.0,151.0
4.3076925,56.0,13.0
0.6666667,4.0,6.0
2.0920634,659.0,315.0
2.1933684,195008.0,88908.0
1.025566,15765.0,15372.0
0.83282673,274.0,329.0
0.33333334,2.0,6.0
9.413136,13329.0,1416.0
0.6087866,291.0,478.0
6.745098,1376.0,204.0
0.5175202,192.0,371.0
0.4464752,171.0,383.0
0.45901638,28.0,61.0
0.9644513,2496.0,2588.0
12.578947,5258.0,418.0
0.46948355,100.0,213.0
0.44052863,100.0,227.0
0.5166426,714.0,1382.0
0.4055944,58.0,143.0
0.76340693,242.0,317.0
0.4017763,3438.0,8557.0
0.46774194,377.0,806.0
1.6494361,1755.0,1064.0
2.4751897,4240.0,1713.0
12.578947,5258.0,418.0
1.6666666,20.0,12.0
9176.471,2964000.0,323.0
0.63703704,344.0,540.0
6.961637,2722.0,391.0
2.0,390.0,195.0
7.5207696,17200.0,2287.0
36.195652,3330.0,92.0
3.0,390.0,130.0
4.347995,3361.0,773.0
0.52,26.0,50.0
0.5854701,274.0,468.0
1.608338,57482.0,35740.0
1.3910046,20783.0,14941.0
0.5782313,85.0,147.0
0.5,1.0,2.0
0.5,2.0,4.0
7.411236,23086.0,3115.0
0.60286534,1052.0,1745.0
4.672811,2028.0,434.0
0.5016077,156.0,311.0
0.617689,433.0,701.0
