statename,districtname,crop,cropyear,season,statenorm,districtnorm
Andhra Pradesh,KRISHNA,Arecanut,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Banana,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Cashewnut,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Dry ginger,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Ginger,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Sugarcane,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Sunflower,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Sweet potato,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Tobacco,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KRISHNA,Turmeric,2010,Whole Year,andhra pradesh,krishna
Andhra Pradesh,KURNOOL,Arhar/Tur,2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Bajra,2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Castor seed,2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Cotton(lint),2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Dry chillies,2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Groundnut,2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Jowar,2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Maize,2010,Kharif,andhra pradesh,kurnool
Andhra Pradesh,KURNOOL,Mesta,2010,Kharif,andhra pradesh,kurnool
